Name,Position,College,Year
Bradyn Swinson,DE,LSU,2025
Barryn Sorrell,DE,Texas,2025
Sai'vion Jones,DE,LSU,2025
Tyrion Ingram-Dawkins,DT,Georgia,2025
David Walker,DE,Central Arkansas,2025
Kyle Kennard,DE,South Carolina,2025
Elijah Roberts,DE,SMU,2025
Fadil Diggs,DE,Syracuse,2025
Jared Ivey,DE,Mississippi,2025
Jah Joyner,DE,Minnesota,2025
Antwaun Powell-Ryland,DE,Virginia Tech,2025
Que Robinson,DE,Alabama,2025
Kaimon Rucker,DE,North Carolina,2025
Tyler Baron,DE,Miami,2025
Ahmed Hassanein,DE,Boise State,2025
Elijah Ponder,DE,Cal Poly Pomona,2025
Ethan Downs,DE,Oklahoma,2025
Tyler Batty,DE,BYU,2025
Steve Linton,DE,Baylor,2025
Johnny Walker Jr.,DE,Missouri,2025
Chaz Chambliss,DE,Georgia,2025
RJ Oben,DE,Notre Dame,2025
JJ Weaver,DE,Kentucky,2025
Kydran Jenkins,DE,Purdue,2025
Jasheen Davis,DE,Wake Forest,2025
Seth Coleman,DE,Illinois,2025
Garmon Randolph,DE,Baylor,2025
Elijah Alston,DE,Miami,2025
Mason Graham,DT,Michigan,2025
Derrick Harmon,DT,Oregon,2025
Kenneth Grant,DT,Michigan,2025
Walter Nolen,DT,Mississippi,2025
Tyleik Williams,DT,Ohio State,2025
Shemar Turner,DT,Texas A&M,2025
Darius Alexander,DT,Toledo,2025
Alfred Collins,DT,Texas,2025
TJ Sanders,DT,South Carolina,2025
Joshua Farmer,DT,Florida State,2025
Ty Hamilton,DT,Ohio State,2025
Ty Robinson,DT,Nebraska,2025
Jay Toia,DT,UCLA,2025
Cam Jackson,DT,Florida,2025
Omarr Norman-Lott,DT,Tennessee,2025
Jordan Phillips,DT,Maryland,2025
Aeneas Peebles,DT,Virginia Tech,2025
Jamaree Caldwell,DT,Oregon,2025
Deone Walker,DT,Kentucky,2025
Vernon Broughton,DT,Texas,2025
CJ West,DT,Indiana,2025
JJ Pegues,DT,Mississippi,2025
Rylie Mills,DT,Notre Dame,2025
Cam Horsley,DT,Boston College,2025
Yahya Black,DT,Iowa,2025
Nazir Stackhouse,DT,Georgia,2025
Jared Harrison-Hunte,DT,SMU,2025
Warren Brinson,DT,Georgia,2025
Tim Smith,DT,Alabama,2025
Eric Gregory,DT,Arkansas,2025
Elijah Simmons,DT,Tennessee,2025
Tonka Hemingway,DT,South Carolina,2025
Zeek Biggers,DT,Georgia Tech,2025
Howard Cross III,DT,Notre Dame,2025
Sean Martin,DT,West Virginia,2025
DeAndre Jules,DT,South Carolina,2025
Kyonte Hamilton,DT,Rutgers,2025
Junior Tafuna,DT,Utah,2025
Jahvaree Ritzie,DT,North Carolina,2025
Nash Hutmacher,DT,Nebraska,2025
Payton Page,DT,Clemson,2025
Tommy Akingbesote,DT,Maryland,2025
Simeon Barrow Jr.,DT,Miami,2025
Jihaad Campbell,LB,Alabama,2025
Carson Schwesinger,LB,UCLA,2025
Danny Stutsman,LB,Oklahoma,2025
Jeffrey Bassa,LB,Oregon,2025
Smael Mondon Jr.,LB,Georgia,2025
Demetrius Knight Jr.,LB,South Carolina,2025
Chris Paul Jr.,LB,Mississippi,2025
Kobe King,LB,Penn State,2025
Barrett Carter,LB,Clemson,2025
Kain Medrano,LB,UCLA,2025
Cody Simon,LB,Ohio State,2025
Jack Kiser,LB,Notre Dame,2025
Teddye Buchanan,LB,California,2025
Shemar James,LB,Florida,2025
Nick Martin,LB,Oklahoma State,2025
Cody Lindenberg,LB,Minnesota,2025
Eugene Asante,LB,Auburn,2025
Collin Oliver,LB,Oklahoma State,2025
Jalen McLeod,LB,Auburn,2025
Francisco Mauigoa,LB,Miami,2025
Jackson Woodard,LB,UNLV,2025
Jay Higgins,LB,Iowa,2025
Carson Bruener,LB,Washington,2025
Jailin Walker,LB,Indiana,2025
Jamon Dumas-Johnson,LB,Kentucky,2025
Chandler Martin,LB,Memphis,2025
Justin Barron,LB,Syracuse,2025
Austin Keys,LB,Auburn,2025
Tyreem Powell,LB,Rutgers,2025
Karene Reid,LB,Utah,2025
Shaun Dolac,LB,Buffalo,2025
Power Echols,LB,North Carolina,2025
Bam Martin-Scott,LB,South Carolina,2025
De'Rickey Wright,LB,Vanderbilt,2025
Travis Hunter,CB,Colorado,2025
Will Johnson,CB,Michigan,2025
Jahdae Barron,CB,Texas,2025
Maxwell Hairston,CB,Kentucky,2025
Trey Amos,CB,Mississippi,2025
Azareye'h Thomas,CB,Florida State,2025
Shavon Revel Jr.,CB,East Carolina,2025
Nohl Williams,CB,California,2025
Jacob Parrish,CB,Kansas State,2025
Benjamin Morrison,CB,Notre Dame,2025
Quincy Riley,CB,Louisville,2025
Darien Porter,CB,Louisville,2025
Dorian Strong,CB,Virginia Tech,2025
Bilhal Kone,CB,Western Michigan,2025
Caleb Ransaw,CB,Tulane,2025
Denzel Burke,CB,Ohio State,2025
Robert Longerbeam,CB,Rutgers,2025
Korie Black,CB,Oklahoma State,2025
Zy Alexander,CB,LSU,2025
Mac McWilliams,CB,UCF,2025
Upton Stout,CB,Western Kentucky,2025
Tommi Hill,CB,Nebraska,2025
Zah Frazier,CB,UTSA,2025
Marcus Harris,CB,California,2025
Jordan Hancock,CB,Ohio State,2025
Cobee Bryant,CB,Kansas,2025
Justin Walley,CB,Minnesota,2025
Jason Marshall Jr.,CB,Florida,2025
Alijah Huzzie,CB,North Carolina,2025
Jaylin Smith,CB,USC,2025
BJ Adams,CB,UCF,2025
Mello Dotson,CB,Oregon,2025
Jabbar Muhammad,CB,Oregon,2025
Fentrell Cypress II,CB,Florida State,2025
Jermari Harris,CB,Iowa,2025
Isas Waxter II,CB,Villanova,2025
Ethan Robinson,CB,Minnesota,2025
BJ Mayes,CB,Texas A&M,2025
Melvin Smith Jr.,CB,Southern Arkansas,2025
Trikweze Bridges,CB,Florida,2025
O'Donnell Fortune,CB,South Carolina,2025
Jalen Kimber,CB,Penn State,2025
Donte Kent,CB,Central Michigan,2025
Nikko Reed,CB,Oregon,2025
Zemaiah Vaughn,CB,Utah,2025
Jordan Clark,CB,Notre Dame,2025
Dontae Manning,CB,Oregon,2025
Kam Alexander,CB,Oregon,2025
TJ Moore,CB,Mercer,2025
Nick Emmanwori,S,South Carolina,2025
Malaki Starks,S,Georgia,2025
Xavier Watts,S,Notre Dame,2025
Kevin Winston Jr.,S,Penn State,2025
Billy Bowman Jr.,S,Oklahoma,2025
Jonas Sanker,S,Virginia,2025
Andrew Mukuba,S,Texas,2025
Lathan Ransom,S,Ohio State,2025
Malachi Moore,S,Alabama,2025
Jaylen Reed,S,Penn State,2025
Maxen Hook,S,Toledo,2025
Dante Trader Jr.,S,Maryland,2025
Marques Sigle,S,Kansas State,2025
Hunter Wohler,S,Wisconsin,2025
Sebastian Castro,S,Iowa,2025
Dan Jackson,S,Georgia,2025
Craig Woodson,S,California,2025
Rayuan Lane III,S,Navy,2025
Malik Verdon,S,Iowa State,2025
Kitan Crawford,S,Nevada,2025
RJ Mickens,S,Clemson,2025
Alijah Clark,S,Syracuse,2025
Mike Smith Jr.,S,Eastern Kentucky,2025
Keondre Jackson,S,Illinois State,2025
Zion Childress,S,Kentucky,2025
Dean Clark,S,Fresno State,2025
Jack Henderson,S,Minnesota,2025
JJ Roberts,S,Marshall,2025
Shamari Simmons,S,Arizona State,2025
Kenyatta Watson II,S,Georgia State,2025
Andres Borregales,K,Miami,2025
Ryan Fitzgerald,K,Florida State,2025
Jeremy Crawshaw,P,Florida,2025
James Burnip,S,Alabama,2025
William Wagner,LS,Michigan,2025
